Date,Name,Start,End,Duration,Latitude,Longitude,Category,Link
01/01/14,Home,2014-01-01T00:00:00Z,2014-01-01T12:00:11Z,43211,51.61603,-0.24579,Home,
01/01/14,Home,2014-01-01T12:36:42Z,2014-01-01T16:04:49Z,12487,51.61603,-0.24579,Home,
01/01/14,Marks and Spencer,2014-01-01T16:10:54Z,2014-01-01T16:19:29Z,515,51.61398,-0.24903,,
01/01/14,Home,2014-01-01T16:27:07Z,2014-01-02T00:00:00Z,27173,51.61603,-0.24579,Home,
02/01/14,Home,2014-01-02T00:00:00Z,2014-01-02T09:24:17Z,33857,51.61603,-0.24579,Home,
02/01/14,EMC,2014-01-02T09:55:02Z,2014-01-02T13:24:09Z,12547,51.5386,-0.14165,Work,
02/01/14,Il Sugo,2014-01-02T13:31:51Z,2014-01-02T14:12:36Z,2445,51.537297,-0.140809,,http://foursquare.com/venue/523c13ef498e2a5c597a9260
02/01/14,EMC,2014-01-02T14:21:46Z,2014-01-02T18:33:26Z,15100,51.5386,-0.14165,Work,
02/01/14,Home,2014-01-02T19:09:58Z,2014-01-03T00:00:00Z,17402,51.61603,-0.24579,Home,
03/01/14,Home,2014-01-03T00:00:00Z,2014-01-03T09:02:19Z,32539,51.61603,-0.24579,Home,
03/01/14,Place in London Borough of Barnet,2014-01-03T09:06:42Z,2014-01-03T09:18:03Z,681,51.6126,-0.2487,,
03/01/14,EMC,2014-01-03T09:42:02Z,2014-01-03T17:50:54Z,29332,51.5386,-0.14165,Work,
03/01/14,Kentish Town Railway Station (KTN),2014-01-03T18:03:13Z,2014-01-03T18:19:38Z,985,51.55046486877708,-0.1399683952331543,,
03/01/14,Marks and Spencer,2014-01-03T18:36:29Z,2014-01-03T18:43:19Z,410,51.61398,-0.24903,,
03/01/14,Home,2014-01-03T18:47:59Z,2014-01-04T00:00:00Z,18721,51.61603,-0.24579,Home,
04/01/14,Home,2014-01-04T00:00:00Z,2014-01-04T15:41:49Z,56509,51.61603,-0.24579,Home,
04/01/14,Place in O2 centre,2014-01-04T16:11:40Z,2014-01-04T16:15:00Z,200,51.54802,-0.18095,,
04/01/14,Japanese Store,2014-01-04T16:23:10Z,2014-01-04T16:48:13Z,1503,51.54596,-0.17929,,
04/01/14,Place in O2 centre,2014-01-04T16:53:54Z,2014-01-04T21:31:59Z,16685,51.54791,-0.18136,,
04/01/14,Home,2014-01-04T22:08:45Z,2014-01-05T00:00:00Z,6675,51.61603,-0.24579,Home,
05/01/14,Home,2014-01-05T00:00:00Z,2014-01-06T00:00:00Z,86400,51.61603,-0.24579,Home,
06/01/14,Home,2014-01-06T00:00:00Z,2014-01-06T09:02:12Z,32532,51.61603,-0.24579,Home,
06/01/14,EMC,2014-01-06T09:40:41Z,2014-01-06T17:50:16Z,29375,51.5386,-0.14165,Work,
06/01/14,Kentish Town Railway Station (KTN),2014-01-06T17:56:56Z,2014-01-06T18:03:21Z,385,51.55046486877708,-0.1399683952331543,,
06/01/14,Home,2014-01-06T18:23:34Z,2014-01-07T00:00:00Z,20186,51.61603,-0.24579,Home,
07/01/14,Home,2014-01-07T00:00:00Z,2014-01-07T09:05:13Z,32713,51.61603,-0.24579,Home,
07/01/14,Il Sugo,2014-01-07T09:35:27Z,2014-01-07T14:27:10Z,17503,51.537297,-0.140809,,http://foursquare.com/venue/523c13ef498e2a5c597a9260
07/01/14,Dentist,2014-01-07T14:56:33Z,2014-01-07T15:41:17Z,2684,51.54013,-0.19588,,
07/01/14,Marks and Spencer,2014-01-07T16:34:32Z,2014-01-07T16:36:56Z,144,51.61398,-0.24903,,
07/01/14,Home,2014-01-07T16:42:07Z,2014-01-08T00:00:00Z,26273,51.61603,-0.24579,Home,
08/01/14,Home,2014-01-08T00:00:00Z,2014-01-08T18:49:08Z,67748,51.61603,-0.24579,Home,
08/01/14,Marks and Spencer,2014-01-08T19:02:47Z,2014-01-08T19:08:38Z,351,51.61398,-0.24903,,
08/01/14,Home,2014-01-08T19:15:47Z,2014-01-09T00:00:00Z,17053,51.61603,-0.24579,Home,
09/01/14,Home,2014-01-09T00:00:00Z,2014-01-09T09:49:54Z,35394,51.61603,-0.24579,Home,
09/01/14,EMC,2014-01-09T10:28:47Z,2014-01-09T17:56:52Z,26885,51.5386,-0.14165,Work,
09/01/14,Home,2014-01-09T18:25:52Z,2014-01-10T00:00:00Z,20048,51.61603,-0.24579,Home,
10/01/14,Home,2014-01-10T00:00:00Z,2014-01-10T06:11:20Z,22280,51.61603,-0.24579,Home,
10/01/14,Mill Hill Broadway Railway Station (MIL),2014-01-10T06:16:29Z,2014-01-10T06:33:44Z,1035,51.61298013870623,-0.2492952346801758,,
10/01/14,London Luton Airport (LTN),2014-01-10T07:18:58Z,2014-01-10T08:00:02Z,2464,51.87932352857161,-0.3761360410544903,,http://foursquare.com/venue/4ac6158cf964a520c9b220e3
10/01/14,London Luton Airport (LTN),2014-01-10T08:04:57Z,2014-01-10T08:18:11Z,794,51.87932352857161,-0.3761360410544903,,http://foursquare.com/venue/4ac6158cf964a520c9b220e3
10/01/14,St. Valery,2014-01-10T10:33:54Z,2014-01-10T10:55:25Z,1291,55.94760513305664,-3.221510410308838,,http://foursquare.com/venue/4e5151db45ddff0031da61ef
